NumeJudet,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Alba,191412,190648,196960,180290,189286,206340,235330,222174,201680,202182,311444,412710,426024,435726,625524,626830
Arad,543096,492834,570418,602956,623322,686400,707534,674232,666626,609758,691268,684812,677720,718588,759988,761826
Arges,526160,512228,491916,445436,496160,519912,697274,631628,379774,412470,437002,499150,473614,555392,656054,696892
Bacau,788846,819276,822332,737186,703050,732602,663730,620128,549242,391818,477050,514490,530426,547710,646318,674894
Bihor,2421336,2399320,2403390,2356638,2262328,2290366,2278490,2256318,1997276,1770906,2008732,2058448,1904326,2116182,2274036,2777714
Bistrita-Nasaud,522658,556278,596184,470448,549568,521330,506534,478286,357700,275746,287856,329270,280814,285276,391138,369738
Botosani,196040,133304,120564,112134,93676,102028,114572,110926,108576,98872,134696,123246,117602,155870,136110,155580
Braila,595762,513404,532946,492448,506668,498478,595360,585270,402074,367642,459226,453378,409520,391888,435626,450364
Brasov,1769292,1558592,1646590,1921672,2000636,2109844,2382938,2559188,1970044,2156594,2659662,2973048,3508640,3563636,4121918,4426004
Buzau,260564,257194,339372,325954,317996,330820,365724,398856,362976,297182,307712,333432,365868,346920,337950,351480
Calarasi,37318,51506,71400,74902,105854,166046,104240,106382,54090,55140,67246,63300,68626,70990,73950,76672
Caras-Severin,1595656,1840260,1900532,1730826,1489976,1594776,1442772,1414966,1163932,942000,1091322,995136,1072752,1030146,1422052,1376606
Cluj,539116,630810,818414,912876,1022594,1153034,1444668,1462064,990926,855782,995750,1021518,1165282,1292040,1713192,1925836
Constanta,9800982,9165784,8943140,9350874,8816332,8231818,8938836,8871404,7506490,6333412,6722146,7599052,6837994,7233960,8362612,9083702
Covasna,1082424,974594,1039226,985462,981780,915418,858056,973538,903948,818360,1064776,945630,876448,967286,963200,1047096
Dambovita,535176,476422,491668,493834,487600,497130,535778,604460,470734,437052,496288,476462,486376,495706,500240,504572
Dolj,179356,173990,115352,156740,168732,187000,251052,275748,143378,131390,232854,293562,323076,323304,374614,349366
Galati,180536,199920,196580,218926,211936,234814,261490,282782,197772,150002,207102,216244,264668,236764,274152,293386
Giurgiu,137410,117656,120774,158468,138758,126102,161480,180084,179398,169936,184052,188816,165602,83812,81854,95260
Gorj,206554,208470,167296,180076,169168,196188,210984,239462,231940,211452,273442,346632,342342,337474,294312,299738
Harghita,713810,579814,638960,687166,622330,580638,547736,484546,413840,415250,502358,609830,639170,659500,834258,940510
Hunedoara,704558,529034,634904,515060,520896,514638,586494,566894,479966,445358,461870,464048,475750,544266,687576,646892
Ialomita,490668,422666,510590,534324,476562,577196,663208,608136,547686,399148,436292,427410,403524,377816,421950,368032
Iasi,516636,510882,523104,557448,579450,652496,744294,752436,677528,686142,698922,731472,713334,782808,908322,1090126
Ilfov,41572,93300,107438,177554,230600,234848,316532,401438,250622,261610,230950,297914,296766,327440,342986,411846
Maramures,432566,385640,381400,372370,417458,422458,457996,431818,406412,401386,403366,372686,383686,410076,562054,677022
Mehedinti,239602,241942,234830,247016,230024,251264,269750,296786,282014,271738,274258,239944,234206,224370,331282,403220
Municipiul Bucuresti,1893496,2026086,2260312,2540766,2731912,3081108,3732434,4024346,3420936,3699184,4028302,4178978,4449258,4994364,5736182,6299940
Mures,805966,741588,694512,818248,1032162,1179634,1270608,1146030,1077740,1043220,1161762,1432424,1543862,1700562,2057286,2071410
Neamt,314820,319064,511620,602684,531876,613470,673956,692072,641084,549534,548636,581110,589724,666730,663004,857316
Olt,66774,65186,71816,79356,88762,104214,99830,87814,52698,44906,98916,145934,135620,137522,146734,146068
Prahova,1714546,1605880,1662722,1787934,1858128,1932158,2125054,2034374,1633506,1598096,1678460,1819114,1753804,1797364,2039976,2215312
Salaj,141900,126902,131808,135868,123226,127534,108426,128316,123436,140470,171958,180578,170930,156970,175072,171544
Satu Mare,177396,165068,170762,194038,205218,211100,302866,316978,321428,324796,301442,260894,322432,314390,312148,255278
Sibiu,619592,586946,632356,736610,738058,868910,1060200,918684,763344,803156,923272,980520,1081014,1163010,1481892,1660590
Suceava,922190,813302,846416,864896,870398,1000604,1070156,1060220,958804,921274,1112498,1172474,1154464,1167284,1398982,1519508
Teleorman,76290,60012,58942,68982,51374,62518,63930,66722,83544,57552,56434,76076,78868,48672,45778,36044
Timis,1023100,955226,962910,1028814,1036428,1216544,1276904,1311208,1042468,1012770,1121130,1200448,1284076,1366030,1597892,1782480
Tulcea,202728,159470,151112,261124,308130,282666,293466,350000,248682,217410,261038,267534,383400,253500,276354,299596
Valcea,2798086,2692250,2697024,2632152,2547058,2543192,2515376,2560526,2173178,1921040,2093064,2105154,2098798,2051854,2308114,2422464
Vaslui,74110,68182,76770,105458,93246,96914,117102,117740,83866,97606,140930,144706,123140,100472,115876,114126
Vrancea,163276,132678,143804,145086,117260,128840,133538,146982,129462,102928,143394,114660,111796,126412,150122,149034
